======================================================================
  MAPPO+AAI  seed=42  per-step reward log
  evaluation/nalpari_v1/mappo_aai/episodes/mappo+aai_seed42.npz
======================================================================
  Total steps : 300  (index 0 = initial state, no reward)
  Mean reward : -42.607
  Min  reward : -81.027
  Max  reward : 2.954
  Positive steps : 54 / 300  (18.0%)

 step      reward   tgt0   tgt1  det_state       
-------------------------------------------------------
    1      2.9217   True   True  both            
    2      2.9538   True   True  both            
    3      2.8133   True   True  both            
    4      2.6497   True   True  both            
    5      2.5024   True   True  both            
    6      2.3680   True   True  both            
    7      2.2399   True   True  both            
    8      2.1077   True   True  both            
    9      1.9597   True   True  both            
   10      1.8278   True   True  both            
   11      1.6983   True   True  both            
   12      1.7233   True   True  both            
   13      1.4808   True   True  both            
   14      1.3734   True   True  both            
   15      1.2705   True   True  both            
   16      1.1738   True   True  both            
   17    -43.9110  False   True  tgt1 only       
   18      1.1486   True   True  both            
   19      0.0302   True   True  both            
   20    -35.0405  False   True  tgt1 only       
   21      0.0893   True   True  both            
   22      0.9602   True   True  both            
   23     -0.0344   True   True  both            
   24     -0.1421   True   True  both            
   25      0.9388   True   True  both            
   26     -0.0672   True   True  both            
   27     -0.1753   True   True  both            
   28      0.9077   True   True  both            
   29     -0.0850   True   True  both            
   30      0.9339   True   True  both            
   31     -0.0626   True   True  both            
   32      0.9526   True   True  both            
   33     -0.0507   True   True  both            
   34     -0.1554   True   True  both            
   35      0.9295   True   True  both            
   36     -0.0680   True   True  both            
   37      0.9500   True   True  both            
   38     -0.0584   True   True  both            
   39      0.9588   True   True  both            
   40     -0.0499   True   True  both            
   41      0.9679   True   True  both            
   42     -0.0236   True   True  both            
   43      1.0053   True   True  both            
   44      0.0191   True   True  both            
   45      1.0472   True   True  both            
   46      0.0510   True   True  both            
   47     -0.0361   True   True  both            
   48      1.0595   True   True  both            
   49      0.0645   True   True  both            
   50      1.0880   True   True  both            
   51      0.0984   True   True  both            
   52      1.1275   True   True  both            
   53      0.1414   True   True  both            
   54      1.1557   True   True  both            
   55      0.1561   True   True  both            
   56      1.1764   True   True  both            
   57    -24.8312   True  False  tgt0 only       
   58      0.3802   True   True  both            
   59      1.2131   True   True  both            
   60      0.1991   True   True  both            
   61      1.2054   True   True  both            
   62    -24.7948   True  False  tgt0 only       
   63      0.3919   True   True  both            
   64      1.2530   True   True  both            
   65    -24.7813   True  False  tgt0 only       
   66      0.4014   True   True  both            
   67      1.2452   True   True  both            
   68    -24.8101   True  False  tgt0 only       
   69      0.3502   True   True  both            
   70    -24.9147   True  False  tgt0 only       
   71      0.2515   True   True  both            
   72      1.0905   True   True  both            
   73    -24.9485   True  False  tgt0 only       
   74      0.1536   True   True  both            
   75      1.0667   True   True  both            
   76    -60.0088  False  False  none            
   77    -34.9145  False   True  tgt1 only       
   78    -34.0180  False   True  tgt1 only       
   79    -60.1560  False  False  none            
   80    -35.2106  False   True  tgt1 only       
   81    -34.4654  False   True  tgt1 only       
   82    -60.7646  False  False  none            
   83    -36.0032  False   True  tgt1 only       
   84    -35.4594  False   True  tgt1 only       
   85    -62.0018  False  False  none            
   86    -37.4956  False   True  tgt1 only       
   87    -37.2134  False   True  tgt1 only       
   88    -64.0565  False  False  none            
   89    -39.8417  False   True  tgt1 only       
   90    -39.8921  False   True  tgt1 only       
   91    -67.0823  False  False  none            
   92    -43.1977  False   True  tgt1 only       
   93    -43.5599  False   True  tgt1 only       
   94    -71.0964  False  False  none            
   95    -47.6155  False   True  tgt1 only       
   96    -48.4445  False   True  tgt1 only       
   97    -76.4743  False  False  none            
   98    -78.5487  False  False  none            
   99    -55.8214  False   True  tgt1 only       
  100    -80.9844  False  False  none            
  101    -80.9286  False  False  none            
  102    -80.9211  False  False  none            
  103    -80.9317  False  False  none            
  104    -55.8377  False   True  tgt1 only       
  105    -54.8347  False   True  tgt1 only       
  106    -80.9807  False  False  none            
  107    -80.9672  False  False  none            
  108    -80.9675  False  False  none            
  109    -80.9888  False  False  none            
  110    -81.0267  False  False  none            
  111    -61.0875  False  False  none            
  112    -61.1785  False  False  none            
  113    -35.8495  False   True  tgt1 only       
  114    -34.8525  False   True  tgt1 only       
  115    -61.0376  False  False  none            
  116    -60.9899  False  False  none            
  117    -60.9931  False  False  none            
  118    -61.0081  False  False  none            
  119    -61.0480  False  False  none            
  120    -61.1137  False  False  none            
  121    -61.2012  False  False  none            
  122    -35.8671  False   True  tgt1 only       
  123    -34.9003  False   True  tgt1 only       
  124    -60.0916  False  False  none            
  125    -60.0479  False  False  none            
  126    -60.0792  False  False  none            
  127    -60.1155  False  False  none            
  128    -60.1889  False  False  none            
  129    -61.3088  False  False  none            
  130    -62.4762  False  False  none            
  131    -62.7066  False  False  none            
  132    -63.9794  False  False  none            
  133    -64.2476  False  False  none            
  134    -64.5666  False  False  none            
  135    -64.9313  False  False  none            
  136    -66.3673  False  False  none            
  137    -66.8254  False  False  none            
  138    -67.3279  False  False  none            
  139    -67.8822  False  False  none            
  140    -68.5218  False  False  none            
  141    -69.2377  False  False  none            
  142    -70.0292  False  False  none            
  143    -70.8896  False  False  none            
  144    -72.8292  False  False  none            
  145    -73.8594  False  False  none            
  146    -74.9796  False  False  none            
  147    -75.8229  False  False  none            
  148    -75.8444  False  False  none            
  149    -75.8644  False  False  none            
  150    -75.8906  False  False  none            
  151    -75.9072  False  False  none            
  152    -75.9345  False  False  none            
  153    -75.9223  False  False  none            
